024A AF:C9C0 BC:00AA DE:00D8 HL:2065 SP:A8FF; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0327 AF:C9C0 BC:00AA DE:00D8 HL:2065 SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032A AF:C9C0 BC:00AA DE:00D8 HL:9FFF SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032D AF:C9C0 BC:0800 DE:00D8 HL:9FFF SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032F AF:FFC0 BC:0800 DE:00D8 HL:9FFF SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0330 AF:FFC0 BC:0800 DE:00D8 HL:9FFE SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0331 AF:FFC0 BC:07FF DE:00D8 HL:9FFE SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0332 AF:07C0 BC:07FF DE:00D8 HL:9FFE SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0333 AF:FF00 BC:07FF DE:00D8 HL:9FFE SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032D AF:FF00 BC:07FF DE:00D8 HL:9FFE SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032F AF:FF00 BC:07FF DE:00D8 HL:9FFE SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0330 AF:FF00 BC:07FF DE:00D8 HL:9FFD SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0331 AF:FF00 BC:07FE DE:00D8 HL:9FFD SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0332 AF:0700 BC:07FE DE:00D8 HL:9FFD SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0333 AF:FF00 BC:07FE DE:00D8 HL:9FFD SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032D AF:FF00 BC:07FE DE:00D8 HL:9FFD SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032F AF:FF00 BC:07FE DE:00D8 HL:9FFD SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0330 AF:FF00 BC:07FE DE:00D8 HL:9FFC SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0331 AF:FF00 BC:07FD DE:00D8 HL:9FFC SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0332 AF:0700 BC:07FD DE:00D8 HL:9FFC SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0333 AF:FF00 BC:07FD DE:00D8 HL:9FFC SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032D AF:FF00 BC:07FD DE:00D8 HL:9FFC SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032F AF:FF00 BC:07FD DE:00D8 HL:9FFC SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0330 AF:FF00 BC:07FD DE:00D8 HL:9FFB SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0331 AF:FF00 BC:07FC DE:00D8 HL:9FFB SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0332 AF:0700 BC:07FC DE:00D8 HL:9FFB SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0333 AF:FF00 BC:07FC DE:00D8 HL:9FFB SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032D AF:FF00 BC:07FC DE:00D8 HL:9FFB SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032F AF:FF00 BC:07FC DE:00D8 HL:9FFB SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0330 AF:FF00 BC:07FC DE:00D8 HL:9FFA SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0331 AF:FF00 BC:07FB DE:00D8 HL:9FFA SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0332 AF:0700 BC:07FB DE:00D8 HL:9FFA SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0333 AF:FF00 BC:07FB DE:00D8 HL:9FFA SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032D AF:FF00 BC:07FB DE:00D8 HL:9FFA SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
032F AF:FF00 BC:07FB DE:00D8 HL:9FFA SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0330 AF:FF00 BC:07FB DE:00D8 HL:9FF9 SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0331 AF:FF00 BC:07FA DE:00D8 HL:9FF9 SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0332 AF:0700 BC:07FA DE:00D8 HL:9FF9 SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
0333 AF:FF00 BC:07FA DE:00D8 HL:9FF9 SP:A8FD; LY: 00; IME: 0 IE: 01 IF: E1, STAT: 80, LCDC: 03
